Experiment-number,Tp,Fn,Fp,Tn,Precision,Recall,F-score,Accuracy,Miss-rate,Fall-out-rate
1.0,114.0,49.0,32.0,134.0,0.7808219178082192,0.6993865030674846,0.7378640776699029,0.7537993920972644,0.1975806451612903,0.1927710843373494
2.0,105.0,55.0,24.0,145.0,0.813953488372093,0.65625,0.726643598615917,0.7598784194528876,0.22,0.14201183431952663
3.0,117.0,53.0,33.0,126.0,0.78,0.6882352941176471,0.73125,0.7386018237082067,0.21810699588477367,0.20754716981132076
4.0,115.0,47.0,29.0,138.0,0.7986111111111112,0.7098765432098766,0.7516339869281046,0.7689969604863222,0.1857707509881423,0.17365269461077845
5.0,119.0,50.0,30.0,130.0,0.7986577181208053,0.7041420118343196,0.7484276729559748,0.756838905775076,0.20080321285140562,0.1875
6.0,114.0,43.0,32.0,140.0,0.7808219178082192,0.7261146496815286,0.7524752475247525,0.7720364741641338,0.16929133858267717,0.18604651162790697
7.0,116.0,47.0,38.0,128.0,0.7532467532467533,0.7116564417177914,0.7318611987381703,0.7416413373860182,0.19262295081967212,0.2289156626506024
8.0,113.0,50.0,37.0,129.0,0.7533333333333333,0.6932515337423313,0.7220447284345048,0.7355623100303952,0.2066115702479339,0.22289156626506024
9.0,119.0,48.0,32.0,130.0,0.7880794701986755,0.7125748502994012,0.7484276729559748,0.756838905775076,0.1927710843373494,0.19753086419753085
10.0,133.0,49.0,34.0,113.0,0.7964071856287425,0.7307692307692307,0.7621776504297995,0.7477203647416414,0.1991869918699187,0.23129251700680273
11.0,119.0,43.0,22.0,145.0,0.8439716312056738,0.7345679012345679,0.7854785478547854,0.8024316109422492,0.16287878787878787,0.1317365269461078
12.0,129.0,43.0,37.0,120.0,0.7771084337349398,0.75,0.7633136094674556,0.756838905775076,0.17269076305220885,0.2356687898089172
13.0,121.0,46.0,34.0,128.0,0.7806451612903226,0.7245508982035929,0.7515527950310559,0.756838905775076,0.18473895582329317,0.20987654320987653
14.0,117.0,40.0,32.0,140.0,0.785234899328859,0.7452229299363057,0.7647058823529411,0.7811550151975684,0.1556420233463035,0.18604651162790697
15.0,126.0,42.0,33.0,128.0,0.7924528301886793,0.75,0.7706422018348624,0.7720364741641338,0.16535433070866143,0.20496894409937888
16.0,124.0,50.0,31.0,124.0,0.8,0.7126436781609196,0.7537993920972644,0.7537993920972644,0.20161290322580644,0.2
17.0,114.0,57.0,28.0,130.0,0.8028169014084507,0.6666666666666666,0.7284345047923323,0.7416413373860182,0.2336065573770492,0.17721518987341772
18.0,123.0,38.0,34.0,134.0,0.7834394904458599,0.7639751552795031,0.7735849056603774,0.7811550151975684,0.14785992217898833,0.20238095238095238
19.0,116.0,44.0,38.0,131.0,0.7532467532467533,0.725,0.7388535031847133,0.7507598784194529,0.17813765182186234,0.22485207100591717
20.0,125.0,39.0,33.0,132.0,0.7911392405063291,0.7621951219512195,0.7763975155279503,0.7811550151975684,0.1517509727626459,0.2
21.0,111.0,47.0,31.0,140.0,0.7816901408450704,0.7025316455696202,0.74,0.7629179331306991,0.18725099601593626,0.18128654970760233
22.0,122.0,41.0,32.0,134.0,0.7922077922077922,0.7484662576687117,0.7697160883280757,0.7781155015197568,0.16015625,0.1927710843373494
