Experiment-number,Tp,Fn,Fp,Tn,Precision,Recall,F-score,Accuracy,Miss-rate,Fall-out-rate
1.0,115.0,37.0,31.0,146.0,0.7876712328767124,0.756578947368421,0.7718120805369127,0.7933130699088146,0.1417624521072797,0.1751412429378531
2.0,121.0,46.0,33.0,129.0,0.7857142857142857,0.7245508982035929,0.7538940809968847,0.7598784194528876,0.184,0.2037037037037037
3.0,126.0,48.0,30.0,125.0,0.8076923076923077,0.7241379310344828,0.7636363636363637,0.7629179331306991,0.19123505976095617,0.1935483870967742
4.0,121.0,44.0,31.0,133.0,0.7960526315789473,0.7333333333333333,0.7634069400630915,0.7720364741641338,0.1732283464566929,0.18902439024390244
5.0,115.0,43.0,28.0,143.0,0.8041958041958042,0.7278481012658228,0.7641196013289037,0.78419452887538,0.16666666666666666,0.16374269005847952
6.0,116.0,43.0,32.0,138.0,0.7837837837837838,0.7295597484276729,0.755700325732899,0.7720364741641338,0.16929133858267717,0.18823529411764706
7.0,108.0,56.0,28.0,137.0,0.7941176470588235,0.6585365853658537,0.72,0.7446808510638298,0.22857142857142856,0.1696969696969697
8.0,120.0,61.0,28.0,120.0,0.8108108108108109,0.6629834254143646,0.729483282674772,0.729483282674772,0.25416666666666665,0.1891891891891892
9.0,118.0,50.0,31.0,130.0,0.7919463087248322,0.7023809523809523,0.7444794952681388,0.7537993920972644,0.20161290322580644,0.19254658385093168
10.0,118.0,44.0,36.0,131.0,0.7662337662337663,0.7283950617283951,0.7468354430379747,0.756838905775076,0.17670682730923695,0.2155688622754491
11.0,119.0,40.0,34.0,136.0,0.7777777777777778,0.7484276729559748,0.7628205128205128,0.7750759878419453,0.1568627450980392,0.2
12.0,121.0,43.0,34.0,131.0,0.7806451612903226,0.7378048780487805,0.7586206896551724,0.7659574468085106,0.17063492063492064,0.20606060606060606
13.0,103.0,62.0,30.0,134.0,0.7744360902255639,0.6242424242424243,0.6912751677852349,0.7203647416413373,0.2616033755274262,0.18292682926829268
14.0,118.0,48.0,31.0,132.0,0.7919463087248322,0.7108433734939759,0.7492063492063492,0.7598784194528876,0.192,0.1901840490797546
15.0,120.0,48.0,31.0,130.0,0.7947019867549668,0.7142857142857143,0.7523510971786834,0.7598784194528876,0.192,0.19254658385093168
16.0,124.0,56.0,28.0,121.0,0.8157894736842105,0.6888888888888889,0.7469879518072289,0.7446808510638298,0.22857142857142856,0.18791946308724833
17.0,122.0,46.0,29.0,132.0,0.8079470198675497,0.7261904761904762,0.7648902821316614,0.7720364741641338,0.18110236220472442,0.18012422360248448
18.0,108.0,50.0,32.0,139.0,0.7714285714285715,0.6835443037974683,0.7248322147651006,0.7507598784194529,0.20242914979757085,0.1871345029239766
19.0,116.0,49.0,36.0,128.0,0.7631578947368421,0.703030303030303,0.7318611987381703,0.7416413373860182,0.20081967213114754,0.21951219512195122
20.0,118.0,41.0,39.0,131.0,0.7515923566878981,0.7421383647798742,0.7468354430379747,0.756838905775076,0.1646586345381526,0.22941176470588234
21.0,118.0,50.0,31.0,130.0,0.7919463087248322,0.7023809523809523,0.7444794952681388,0.7537993920972644,0.20161290322580644,0.19254658385093168
22.0,117.0,41.0,30.0,141.0,0.7959183673469388,0.740506329113924,0.7672131147540984,0.78419452887538,0.15891472868217055,0.17543859649122806
23.0,122.0,52.0,30.0,125.0,0.8026315789473685,0.7011494252873564,0.7484662576687117,0.7507598784194529,0.21052631578947367,0.1935483870967742
24.0,126.0,45.0,28.0,130.0,0.8181818181818182,0.7368421052631579,0.7753846153846153,0.7781155015197568,0.17578125,0.17721518987341772
25.0,122.0,42.0,37.0,128.0,0.7672955974842768,0.7439024390243902,0.7554179566563467,0.7598784194528876,0.168,0.22424242424242424
26.0,117.0,39.0,27.0,146.0,0.8125,0.75,0.78,0.7993920972644377,0.1482889733840304,0.15606936416184972
27.0,120.0,43.0,34.0,132.0,0.7792207792207793,0.7361963190184049,0.7570977917981072,0.7659574468085106,0.17063492063492064,0.20481927710843373
28.0,112.0,56.0,33.0,128.0,0.7724137931034483,0.6666666666666666,0.7156549520766773,0.729483282674772,0.23333333333333334,0.20496894409937888
29.0,118.0,44.0,23.0,144.0,0.8368794326241135,0.7283950617283951,0.7788778877887789,0.7963525835866262,0.16793893129770993,0.1377245508982036
30.0,125.0,44.0,37.0,123.0,0.7716049382716049,0.7396449704142012,0.7552870090634441,0.7537993920972644,0.1774193548387097,0.23125
