Experiment-number,Tp,Fn,Fp,Tn,Precision,Recall,F-score,Accuracy,Miss-rate,Fall-out-rate
1.0,133.0,35.0,37.0,124.0,0.7823529411764706,0.7916666666666666,0.7869822485207101,0.7811550151975684,0.13618677042801555,0.22981366459627328
2.0,122.0,37.0,35.0,135.0,0.7770700636942676,0.7672955974842768,0.7721518987341772,0.7811550151975684,0.14396887159533073,0.20588235294117646
3.0,121.0,47.0,37.0,124.0,0.7658227848101266,0.7202380952380952,0.7423312883435583,0.7446808510638298,0.19183673469387755,0.22981366459627328
4.0,118.0,50.0,21.0,140.0,0.8489208633093526,0.7023809523809523,0.7687296416938111,0.78419452887538,0.1937984496124031,0.13043478260869565
5.0,122.0,37.0,37.0,133.0,0.7672955974842768,0.7672955974842768,0.7672955974842768,0.7750759878419453,0.1450980392156863,0.21764705882352942
6.0,121.0,39.0,35.0,134.0,0.7756410256410257,0.75625,0.7658227848101266,0.7750759878419453,0.15294117647058825,0.20710059171597633
7.0,115.0,53.0,32.0,129.0,0.782312925170068,0.6845238095238095,0.7301587301587301,0.7416413373860182,0.21721311475409835,0.19875776397515527
8.0,112.0,35.0,44.0,138.0,0.717948717948718,0.7619047619047619,0.7392739273927392,0.7598784194528876,0.14,0.24175824175824176
9.0,118.0,53.0,30.0,128.0,0.7972972972972973,0.6900584795321637,0.7398119122257053,0.7477203647416414,0.21544715447154472,0.189873417721519
10.0,116.0,53.0,41.0,119.0,0.7388535031847133,0.6863905325443787,0.7116564417177914,0.7142857142857143,0.225531914893617,0.25625
11.0,116.0,43.0,33.0,137.0,0.7785234899328859,0.7295597484276729,0.7532467532467533,0.7689969604863222,0.16996047430830039,0.19411764705882353
12.0,120.0,50.0,29.0,130.0,0.8053691275167785,0.7058823529411765,0.7523510971786834,0.7598784194528876,0.2,0.18238993710691823
13.0,140.0,32.0,34.0,123.0,0.8045977011494253,0.813953488372093,0.8092485549132948,0.7993920972644377,0.12167300380228137,0.21656050955414013
14.0,128.0,46.0,36.0,119.0,0.7804878048780488,0.735632183908046,0.757396449704142,0.7507598784194529,0.1862348178137652,0.23225806451612904
15.0,119.0,53.0,37.0,120.0,0.7628205128205128,0.6918604651162791,0.725609756097561,0.7264437689969605,0.2217573221757322,0.2356687898089172
16.0,103.0,46.0,38.0,142.0,0.7304964539007093,0.6912751677852349,0.7103448275862069,0.7446808510638298,0.18775510204081633,0.2111111111111111
17.0,121.0,40.0,35.0,133.0,0.7756410256410257,0.7515527950310559,0.7634069400630915,0.7720364741641338,0.15748031496062992,0.20833333333333334
18.0,108.0,51.0,31.0,139.0,0.7769784172661871,0.6792452830188679,0.7248322147651006,0.7507598784194529,0.20647773279352227,0.18235294117647058
19.0,123.0,41.0,44.0,121.0,0.7365269461077845,0.75,0.743202416918429,0.7416413373860182,0.1680327868852459,0.26666666666666666
20.0,118.0,48.0,37.0,126.0,0.7612903225806451,0.7108433734939759,0.735202492211838,0.7416413373860182,0.19672131147540983,0.22699386503067484
21.0,113.0,56.0,30.0,130.0,0.7902097902097902,0.6686390532544378,0.7243589743589743,0.7386018237082067,0.23045267489711935,0.1875
22.0,112.0,49.0,37.0,131.0,0.7516778523489933,0.6956521739130435,0.7225806451612903,0.7386018237082067,0.20164609053497942,0.22023809523809523
