Experiment-number,Tp,Fn,Fp,Tn,Precision,Recall,F-score,Accuracy,Miss-rate,Fall-out-rate
1.0,115.0,46.0,53.0,115.0,0.6845238095238095,0.7142857142857143,0.6990881458966566,0.6990881458966566,0.2,0.31547619047619047
2.0,118.0,52.0,52.0,107.0,0.6941176470588235,0.6941176470588235,0.6941176470588235,0.6838905775075987,0.2311111111111111,0.3270440251572327
3.0,127.0,55.0,43.0,104.0,0.7470588235294118,0.6978021978021978,0.7215909090909091,0.7021276595744681,0.23809523809523808,0.2925170068027211
4.0,122.0,38.0,56.0,113.0,0.6853932584269663,0.7625,0.7218934911242604,0.7142857142857143,0.16170212765957448,0.33136094674556216
5.0,115.0,47.0,54.0,113.0,0.6804733727810651,0.7098765432098766,0.6948640483383686,0.6930091185410334,0.20614035087719298,0.32335329341317365
6.0,112.0,45.0,46.0,126.0,0.7088607594936709,0.7133757961783439,0.7111111111111111,0.723404255319149,0.18907563025210083,0.26744186046511625
7.0,119.0,59.0,41.0,110.0,0.74375,0.6685393258426966,0.7041420118343196,0.6960486322188449,0.2576419213973799,0.271523178807947
8.0,105.0,66.0,48.0,110.0,0.6862745098039216,0.6140350877192983,0.6481481481481481,0.6534954407294833,0.30697674418604654,0.3037974683544304
9.0,103.0,56.0,51.0,119.0,0.6688311688311688,0.6477987421383647,0.65814696485623,0.6747720364741642,0.25225225225225223,0.3
10.0,128.0,38.0,41.0,122.0,0.757396449704142,0.7710843373493976,0.764179104477612,0.7598784194528876,0.152,0.25153374233128833
11.0,126.0,33.0,63.0,107.0,0.6666666666666666,0.7924528301886793,0.7241379310344828,0.7082066869300911,0.14163090128755365,0.37058823529411766
12.0,114.0,48.0,51.0,116.0,0.6909090909090909,0.7037037037037037,0.6972477064220184,0.6990881458966566,0.20869565217391303,0.30538922155688625
13.0,109.0,55.0,45.0,120.0,0.7077922077922078,0.6646341463414634,0.6855345911949685,0.6960486322188449,0.24017467248908297,0.2727272727272727
14.0,110.0,71.0,36.0,112.0,0.7534246575342466,0.6077348066298343,0.672782874617737,0.6747720364741642,0.31981981981981983,0.24324324324324326
15.0,109.0,53.0,57.0,110.0,0.6566265060240963,0.6728395061728395,0.6646341463414634,0.6656534954407295,0.2420091324200913,0.3413173652694611
16.0,109.0,62.0,45.0,113.0,0.7077922077922078,0.6374269005847953,0.6707692307692308,0.6747720364741642,0.27927927927927926,0.2848101265822785
17.0,113.0,45.0,56.0,115.0,0.6686390532544378,0.7151898734177216,0.691131498470948,0.6930091185410334,0.19736842105263158,0.32748538011695905
18.0,113.0,52.0,58.0,106.0,0.6608187134502924,0.6848484848484848,0.6726190476190477,0.6656534954407295,0.2374429223744292,0.35365853658536583
19.0,109.0,59.0,52.0,109.0,0.6770186335403726,0.6488095238095238,0.662613981762918,0.662613981762918,0.2706422018348624,0.32298136645962733
20.0,118.0,58.0,35.0,118.0,0.7712418300653595,0.6704545454545454,0.7173252279635258,0.7173252279635258,0.2457627118644068,0.22875816993464052
21.0,109.0,53.0,55.0,112.0,0.6646341463414634,0.6728395061728395,0.6687116564417178,0.6717325227963525,0.2398190045248869,0.32934131736526945
22.0,111.0,62.0,46.0,110.0,0.7070063694267515,0.6416184971098265,0.6727272727272727,0.6717325227963525,0.28054298642533937,0.2948717948717949
23.0,126.0,47.0,51.0,105.0,0.711864406779661,0.7283236994219653,0.72,0.7021276595744681,0.20346320346320346,0.3269230769230769
24.0,114.0,55.0,42.0,118.0,0.7307692307692307,0.6745562130177515,0.7015384615384616,0.7051671732522796,0.23706896551724138,0.2625
25.0,123.0,33.0,60.0,113.0,0.6721311475409836,0.7884615384615384,0.7256637168141593,0.7173252279635258,0.13983050847457626,0.3468208092485549
26.0,121.0,52.0,43.0,113.0,0.7378048780487805,0.6994219653179191,0.7181008902077152,0.7112462006079028,0.2222222222222222,0.27564102564102566
27.0,117.0,53.0,39.0,120.0,0.75,0.6882352941176471,0.7177914110429447,0.7203647416413373,0.22362869198312235,0.24528301886792453
28.0,114.0,48.0,46.0,121.0,0.7125,0.7037037037037037,0.7080745341614907,0.7142857142857143,0.20425531914893616,0.2754491017964072
29.0,116.0,44.0,63.0,106.0,0.6480446927374302,0.725,0.6843657817109144,0.6747720364741642,0.1981981981981982,0.3727810650887574
30.0,117.0,59.0,39.0,114.0,0.75,0.6647727272727273,0.7048192771084337,0.7021276595744681,0.2554112554112554,0.2549019607843137
31.0,127.0,38.0,61.0,103.0,0.675531914893617,0.7696969696969697,0.7195467422096318,0.6990881458966566,0.16521739130434782,0.3719512195121951
32.0,126.0,41.0,62.0,100.0,0.6702127659574468,0.7544910179640718,0.7098591549295775,0.6869300911854104,0.18141592920353983,0.38271604938271603
33.0,115.0,47.0,54.0,113.0,0.6804733727810651,0.7098765432098766,0.6948640483383686,0.6930091185410334,0.20614035087719298,0.32335329341317365
34.0,126.0,47.0,51.0,105.0,0.711864406779661,0.7283236994219653,0.72,0.7021276595744681,0.20346320346320346,0.3269230769230769
35.0,110.0,50.0,55.0,114.0,0.6666666666666666,0.6875,0.676923076923077,0.6808510638297872,0.22321428571428573,0.3254437869822485
36.0,111.0,37.0,64.0,117.0,0.6342857142857142,0.75,0.6873065015479877,0.6930091185410334,0.16228070175438597,0.35359116022099446
37.0,113.0,50.0,55.0,111.0,0.6726190476190477,0.6932515337423313,0.6827794561933535,0.6808510638297872,0.22321428571428573,0.3313253012048193
38.0,129.0,55.0,47.0,98.0,0.7329545454545454,0.7010869565217391,0.7166666666666667,0.6899696048632219,0.2422907488986784,0.32413793103448274
39.0,124.0,41.0,53.0,111.0,0.7005649717514124,0.7515151515151515,0.7251461988304093,0.7142857142857143,0.17446808510638298,0.3231707317073171
40.0,113.0,48.0,52.0,116.0,0.6848484848484848,0.7018633540372671,0.6932515337423313,0.6960486322188449,0.2096069868995633,0.30952380952380953
41.0,120.0,48.0,51.0,110.0,0.7017543859649122,0.7142857142857143,0.7079646017699115,0.6990881458966566,0.20869565217391303,0.3167701863354037
42.0,113.0,65.0,32.0,119.0,0.7793103448275862,0.6348314606741573,0.6996904024767802,0.7051671732522796,0.2801724137931034,0.2119205298013245
43.0,117.0,46.0,48.0,118.0,0.7090909090909091,0.7177914110429447,0.7134146341463414,0.7142857142857143,0.19574468085106383,0.2891566265060241
