"","Method","Accuracy"
"1","Neural Network",0.740853658536585
"2","Neural Network",0.76219512195122
"3","Neural Network",0.753048780487805
"4","Neural Network",0.786585365853659
"5","Neural Network",0.783536585365854
"6","Neural Network",0.740853658536585
"7","Neural Network",0.698170731707317
"8","Neural Network",0.753048780487805
"9","Neural Network",0.783536585365854
"10","Neural Network",0.768292682926829
"11","Neural Network",0.76219512195122
"12","Neural Network",0.753048780487805
"13","Neural Network",0.713414634146341
"14","Neural Network",0.753048780487805
"15","Neural Network",0.689024390243902
"16","Neural Network",0.75
"17","Neural Network",0.76219512195122
"18","Neural Network",0.795731707317073
"19","Neural Network",0.765243902439024
"20","Neural Network",0.765243902439024
"21","Neural Network",0.719512195121951
"22","Neural Network",0.783536585365854
"23","Neural Network",0.768292682926829
"24","Neural Network",0.728658536585366
"25","Neural Network",0.780487804878049
"26","Neural Network",0.710365853658537
"27","Neural Network",0.75
"28","Neural Network",0.789634146341463
"29","Neural Network",0.74390243902439
"30","Neural Network",0.722560975609756
"31","Neural Network",0.786585365853659
"32","Neural Network",0.701219512195122
"33","Neural Network",0.771341463414634
"34","Neural Network",0.75
"35","Neural Network",0.765243902439024
"36","Neural Network",0.777439024390244
"37","Neural Network",0.768292682926829
"38","Neural Network",0.753048780487805
"39","Neural Network",0.771341463414634
"40","Neural Network",0.719512195121951
"41","Neural Network",0.731707317073171
"42","Neural Network",0.74390243902439
"43","Neural Network",0.771341463414634
"44","Neural Network",0.774390243902439
"45","Neural Network",0.73780487804878
"46","Neural Network",0.740853658536585
"47","Neural Network",0.73780487804878
"48","Neural Network",0.698170731707317
"49","Neural Network",0.777439024390244
"50","Neural Network",0.713414634146341
"51","Neural Network",0.746951219512195
"52","Neural Network",0.789634146341463
"53","Neural Network",0.765243902439024
"54","Neural Network",0.753048780487805
"55","Neural Network",0.725609756097561
"56","Neural Network",0.719512195121951
"57","Neural Network",0.768292682926829
"58","Neural Network",0.670731707317073
"59","Neural Network",0.5
"60","Neural Network",0.707317073170732
"61","Neural Network",0.759146341463415
"62","Neural Network",0.76219512195122
"63","Neural Network",0.731707317073171
"64","Neural Network",0.771341463414634
"65","Neural Network",0.75609756097561
"66","Neural Network",0.740853658536585
"67","Neural Network",0.765243902439024
"68","Neural Network",0.731707317073171
"69","Neural Network",0.768292682926829
"70","Neural Network",0.74390243902439
