Case, TP, FN, FP, TN, Precision, Recall, F-score, Accuracy, Miss-rate, Fall-out-rate
1,114,50,39,125,0.745098039215686,0.695121951219512,0.719242902208202,0.728658536585366,0.209205020920502,0.23780487804878
1,96,68,21,143,0.82051282051282,0.585365853658537,0.683274021352313,0.728658536585366,0.284518828451883,0.128048780487805
1,101,63,20,144,0.834710743801653,0.615853658536585,0.708771929824561,0.746951219512195,0.257142857142857,0.121951219512195
1,108,56,34,130,0.76056338028169,0.658536585365854,0.705882352941177,0.725609756097561,0.235294117647059,0.207317073170732
1,117,47,44,120,0.726708074534162,0.713414634146341,0.72,0.722560975609756,0.19831223628692,0.268292682926829
1,111,53,33,131,0.770833333333333,0.676829268292683,0.720779220779221,0.73780487804878,0.21900826446281,0.201219512195122
1,119,45,34,130,0.777777777777778,0.725609756097561,0.750788643533123,0.759146341463415,0.180722891566265,0.207317073170732
1,125,39,45,119,0.735294117647059,0.76219512195122,0.748502994011976,0.74390243902439,0.159836065573771,0.274390243902439
1,112,52,25,139,0.817518248175182,0.682926829268293,0.744186046511628,0.765243902439024,0.207171314741036,0.152439024390244
1,111,53,38,126,0.74496644295302,0.676829268292683,0.70926517571885,0.722560975609756,0.223628691983122,0.231707317073171
1,114,50,41,123,0.735483870967742,0.695121951219512,0.714733542319749,0.722560975609756,0.210970464135021,0.25
1,120,44,30,134,0.8,0.731707317073171,0.764331210191083,0.774390243902439,0.173228346456693,0.182926829268293
1,111,53,29,135,0.792857142857143,0.676829268292683,0.730263157894737,0.75,0.215447154471545,0.176829268292683
1,118,46,32,132,0.786666666666667,0.719512195121951,0.751592356687898,0.76219512195122,0.184,0.195121951219512
1,120,44,37,127,0.764331210191083,0.731707317073171,0.747663551401869,0.753048780487805,0.178137651821862,0.225609756097561
1,122,42,39,125,0.757763975155279,0.74390243902439,0.750769230769231,0.753048780487805,0.17004048582996,0.23780487804878
1,120,44,35,129,0.774193548387097,0.731707317073171,0.752351097178683,0.759146341463415,0.176706827309237,0.213414634146341
1,125,39,33,131,0.791139240506329,0.76219512195122,0.77639751552795,0.780487804878049,0.15234375,0.201219512195122
1,109,55,27,137,0.801470588235294,0.664634146341463,0.726666666666667,0.75,0.223577235772358,0.164634146341463
1,113,51,36,128,0.758389261744966,0.689024390243902,0.722044728434505,0.734756097560976,0.211618257261411,0.219512195121951
1,114,50,38,126,0.75,0.695121951219512,0.721518987341772,0.731707317073171,0.208333333333333,0.231707317073171
1,126,38,28,136,0.818181818181818,0.768292682926829,0.792452830188679,0.798780487804878,0.145038167938931,0.170731707317073
1,117,47,32,132,0.785234899328859,0.713414634146341,0.747603833865815,0.759146341463415,0.188755020080321,0.195121951219512
1,121,43,25,139,0.828767123287671,0.73780487804878,0.780645161290323,0.792682926829268,0.165384615384615,0.152439024390244
1,112,52,44,120,0.717948717948718,0.682926829268293,0.7,0.707317073170732,0.224137931034483,0.268292682926829
1,123,41,32,132,0.793548387096774,0.75,0.77115987460815,0.777439024390244,0.16078431372549,0.195121951219512
1,118,46,30,134,0.797297297297297,0.719512195121951,0.756410256410256,0.768292682926829,0.182539682539683,0.182926829268293
1,117,47,31,133,0.790540540540541,0.713414634146341,0.75,0.76219512195122,0.188,0.189024390243902
1,110,54,37,127,0.748299319727891,0.670731707317073,0.707395498392283,0.722560975609756,0.227848101265823,0.225609756097561
1,118,46,39,125,0.751592356687898,0.719512195121951,0.735202492211838,0.740853658536585,0.189300411522634,0.23780487804878
1,111,53,31,133,0.78169014084507,0.676829268292683,0.725490196078431,0.74390243902439,0.217213114754098,0.189024390243902
1,117,47,30,134,0.795918367346939,0.713414634146341,0.752411575562701,0.765243902439024,0.187250996015936,0.182926829268293
1,110,54,26,138,0.808823529411765,0.670731707317073,0.733333333333333,0.75609756097561,0.217741935483871,0.158536585365854
1,111,53,27,137,0.804347826086957,0.676829268292683,0.735099337748344,0.75609756097561,0.213709677419355,0.164634146341463
1,119,45,33,131,0.782894736842105,0.725609756097561,0.753164556962025,0.76219512195122,0.18,0.201219512195122
1,113,51,26,138,0.81294964028777,0.689024390243902,0.745874587458746,0.765243902439024,0.203187250996016,0.158536585365854
1,107,57,37,127,0.743055555555556,0.652439024390244,0.694805194805195,0.713414634146341,0.243589743589744,0.225609756097561
1,115,49,30,134,0.793103448275862,0.701219512195122,0.744336569579288,0.759146341463415,0.196787148594378,0.182926829268293
1,116,48,28,136,0.805555555555556,0.707317073170732,0.753246753246753,0.768292682926829,0.19047619047619,0.170731707317073
1,118,46,39,125,0.751592356687898,0.719512195121951,0.735202492211838,0.740853658536585,0.189300411522634,0.23780487804878
1,114,50,33,131,0.775510204081633,0.695121951219512,0.733118971061093,0.746951219512195,0.204081632653061,0.201219512195122
1,122,42,37,127,0.767295597484277,0.74390243902439,0.755417956656347,0.759146341463415,0.168674698795181,0.225609756097561
1,118,46,33,131,0.781456953642384,0.719512195121951,0.749206349206349,0.759146341463415,0.184738955823293,0.201219512195122
1,115,49,34,130,0.771812080536913,0.701219512195122,0.73482428115016,0.746951219512195,0.2,0.207317073170732
1,119,45,35,129,0.772727272727273,0.725609756097561,0.748427672955975,0.75609756097561,0.181451612903226,0.213414634146341
1,118,46,37,127,0.761290322580645,0.719512195121951,0.739811912225705,0.746951219512195,0.187755102040816,0.225609756097561
