Experiment-number, TP, FN, FP, TN, Precision, Recall, F-score, Accuracy, Miss-rate, Fall-out-rate
1,119,45,40,124,0.748427672955975,0.725609756097561,0.736842105263158,0.740853658536585,0.185185185185185,0.24390243902439
2,107,57,41,123,0.722972972972973,0.652439024390244,0.685897435897436,0.701219512195122,0.247826086956522,0.25
3,106,58,20,144,0.841269841269841,0.646341463414634,0.731034482758621,0.76219512195122,0.232,0.121951219512195
4,108,56,39,125,0.73469387755102,0.658536585365854,0.694533762057878,0.710365853658537,0.240343347639485,0.23780487804878
5,111,53,34,130,0.76551724137931,0.676829268292683,0.718446601941748,0.734756097560976,0.219917012448133,0.207317073170732
6,100,64,31,133,0.763358778625954,0.609756097560976,0.677966101694915,0.710365853658537,0.274678111587983,0.189024390243902
7,123,41,31,133,0.798701298701299,0.75,0.773584905660377,0.780487804878049,0.16015625,0.189024390243902
8,99,65,36,128,0.733333333333333,0.603658536585366,0.662207357859532,0.692073170731707,0.286343612334802,0.219512195121951
9,108,56,33,131,0.765957446808511,0.658536585365854,0.708196721311475,0.728658536585366,0.234309623430962,0.201219512195122
10,106,58,30,134,0.779411764705882,0.646341463414634,0.706666666666667,0.731707317073171,0.241666666666667,0.182926829268293
11,111,53,40,124,0.735099337748344,0.676829268292683,0.704761904761905,0.716463414634146,0.225531914893617,0.24390243902439
12,107,57,32,132,0.76978417266187,0.652439024390244,0.706270627062706,0.728658536585366,0.238493723849372,0.195121951219512
13,105,59,30,134,0.777777777777778,0.640243902439024,0.702341137123746,0.728658536585366,0.246861924686192,0.182926829268293
14,98,66,19,145,0.837606837606838,0.597560975609756,0.697508896797153,0.740853658536585,0.271604938271605,0.115853658536585
15,113,51,40,124,0.738562091503268,0.689024390243902,0.712933753943218,0.722560975609756,0.215189873417722,0.24390243902439
16,113,51,39,125,0.743421052631579,0.689024390243902,0.715189873417722,0.725609756097561,0.214285714285714,0.23780487804878
17,107,57,34,130,0.75886524822695,0.652439024390244,0.701639344262295,0.722560975609756,0.240506329113924,0.207317073170732
18,116,48,35,129,0.768211920529801,0.707317073170732,0.736507936507937,0.746951219512195,0.195918367346939,0.213414634146341
19,110,54,30,134,0.785714285714286,0.670731707317073,0.723684210526316,0.74390243902439,0.221311475409836,0.182926829268293
20,107,57,31,133,0.77536231884058,0.652439024390244,0.708609271523179,0.731707317073171,0.2375,0.189024390243902
21,114,50,33,131,0.775510204081633,0.695121951219512,0.733118971061093,0.746951219512195,0.204081632653061,0.201219512195122
22,124,40,35,129,0.779874213836478,0.75609756097561,0.767801857585139,0.771341463414634,0.158102766798419,0.213414634146341
23,111,53,36,128,0.755102040816326,0.676829268292683,0.713826366559486,0.728658536585366,0.221757322175732,0.219512195121951
24,106,58,32,132,0.768115942028985,0.646341463414634,0.701986754966887,0.725609756097561,0.243697478991597,0.195121951219512
25,109,55,29,135,0.789855072463768,0.664634146341463,0.721854304635762,0.74390243902439,0.225409836065574,0.176829268292683
26,112,52,37,127,0.751677852348993,0.682926829268293,0.715654952076677,0.728658536585366,0.217573221757322,0.225609756097561
27,119,45,38,126,0.75796178343949,0.725609756097561,0.741433021806854,0.746951219512195,0.183673469387755,0.231707317073171
28,113,51,46,118,0.710691823899371,0.689024390243902,0.69969040247678,0.704268292682927,0.220779220779221,0.280487804878049
29,100,64,30,134,0.769230769230769,0.609756097560976,0.680272108843537,0.713414634146341,0.273504273504274,0.182926829268293
30,119,45,35,129,0.772727272727273,0.725609756097561,0.748427672955975,0.75609756097561,0.181451612903226,0.213414634146341
31,112,52,44,120,0.717948717948718,0.682926829268293,0.7,0.707317073170732,0.224137931034483,0.268292682926829
32,99,65,26,138,0.792,0.603658536585366,0.685121107266436,0.722560975609756,0.274261603375527,0.158536585365854
33,108,56,37,127,0.744827586206897,0.658536585365854,0.699029126213592,0.716463414634146,0.238297872340426,0.225609756097561
34,117,47,33,131,0.78,0.713414634146341,0.745222929936306,0.75609756097561,0.189516129032258,0.201219512195122
35,108,56,35,129,0.755244755244755,0.658536585365854,0.703583061889251,0.722560975609756,0.236286919831224,0.213414634146341
36,109,55,35,129,0.756944444444444,0.664634146341463,0.707792207792208,0.725609756097561,0.23109243697479,0.213414634146341
37,112,52,32,132,0.777777777777778,0.682926829268293,0.727272727272727,0.74390243902439,0.213114754098361,0.195121951219512
38,108,56,32,132,0.771428571428571,0.658536585365854,0.710526315789474,0.731707317073171,0.233333333333333,0.195121951219512
39,103,61,36,128,0.741007194244604,0.628048780487805,0.67986798679868,0.704268292682927,0.264069264069264,0.219512195121951
40,111,53,19,145,0.853846153846154,0.676829268292683,0.755102040816326,0.780487804878049,0.20703125,0.115853658536585
41,113,51,29,135,0.795774647887324,0.689024390243902,0.738562091503268,0.75609756097561,0.205645161290323,0.176829268292683
42,119,45,25,139,0.826388888888889,0.725609756097561,0.772727272727273,0.786585365853659,0.174418604651163,0.152439024390244
43,105,59,26,138,0.801526717557252,0.640243902439024,0.711864406779661,0.740853658536585,0.242798353909465,0.158536585365854
44,113,51,33,131,0.773972602739726,0.689024390243902,0.729032258064516,0.74390243902439,0.209016393442623,0.201219512195122
45,111,53,27,137,0.804347826086957,0.676829268292683,0.735099337748344,0.75609756097561,0.213709677419355,0.164634146341463
46,117,47,32,132,0.785234899328859,0.713414634146341,0.747603833865815,0.759146341463415,0.188755020080321,0.195121951219512
47,106,58,38,126,0.736111111111111,0.646341463414634,0.688311688311688,0.707317073170732,0.25,0.231707317073171
48,113,51,29,135,0.795774647887324,0.689024390243902,0.738562091503268,0.75609756097561,0.205645161290323,0.176829268292683
49,100,64,31,133,0.763358778625954,0.609756097560976,0.677966101694915,0.710365853658537,0.274678111587983,0.189024390243902
50,105,59,33,131,0.760869565217391,0.640243902439024,0.695364238410596,0.719512195121951,0.25,0.201219512195122
51,99,65,28,136,0.779527559055118,0.603658536585366,0.680412371134021,0.716463414634146,0.276595744680851,0.170731707317073
52,101,63,21,143,0.827868852459016,0.615853658536585,0.706293706293706,0.74390243902439,0.258196721311475,0.128048780487805
53,117,47,25,139,0.823943661971831,0.713414634146341,0.764705882352941,0.780487804878049,0.18359375,0.152439024390244
54,116,48,34,130,0.773333333333333,0.707317073170732,0.738853503184713,0.75,0.195121951219512,0.207317073170732
55,111,53,42,122,0.725490196078431,0.676829268292683,0.700315457413249,0.710365853658537,0.227467811158798,0.25609756097561
56,98,66,21,143,0.823529411764706,0.597560975609756,0.692579505300353,0.734756097560976,0.273858921161826,0.128048780487805
57,110,54,38,126,0.743243243243243,0.670731707317073,0.705128205128205,0.719512195121951,0.228813559322034,0.231707317073171
58,102,62,27,137,0.790697674418605,0.621951219512195,0.696245733788396,0.728658536585366,0.259414225941423,0.164634146341463
59,106,58,21,143,0.834645669291339,0.646341463414634,0.728522336769759,0.759146341463415,0.232931726907631,0.128048780487805
60,112,52,23,141,0.82962962962963,0.682926829268293,0.749163879598662,0.771341463414634,0.205533596837945,0.140243902439024
61,116,48,24,140,0.828571428571429,0.707317073170732,0.763157894736842,0.780487804878049,0.1875,0.146341463414634
62,117,47,32,132,0.785234899328859,0.713414634146341,0.747603833865815,0.759146341463415,0.188755020080321,0.195121951219512
63,110,54,34,130,0.763888888888889,0.670731707317073,0.714285714285714,0.731707317073171,0.225,0.207317073170732
64,96,68,26,138,0.786885245901639,0.585365853658537,0.671328671328671,0.713414634146341,0.290598290598291,0.158536585365854
