Experiment-number, TP, FN, FP, TN, Precision, Recall, F-score, Accuracy, Miss-rate, Fall-out-rate
1,97,67,57,107,0.62987012987013,0.591463414634146,0.610062893081761,0.621951219512195,0.32843137254902,0.347560975609756
2,114,50,52,112,0.686746987951807,0.695121951219512,0.690909090909091,0.689024390243902,0.221238938053097,0.317073170731707
3,115,49,50,114,0.696969696969697,0.701219512195122,0.699088145896657,0.698170731707317,0.213973799126638,0.304878048780488
4,114,50,42,122,0.730769230769231,0.695121951219512,0.7125,0.719512195121951,0.211864406779661,0.25609756097561
5,102,62,44,120,0.698630136986301,0.621951219512195,0.658064516129032,0.676829268292683,0.279279279279279,0.268292682926829
6,114,50,44,120,0.721518987341772,0.695121951219512,0.708074534161491,0.713414634146341,0.213675213675214,0.268292682926829
7,106,58,59,105,0.642424242424242,0.646341463414634,0.644376899696049,0.643292682926829,0.274881516587678,0.359756097560976
8,108,56,51,113,0.679245283018868,0.658536585365854,0.668730650154799,0.673780487804878,0.253393665158371,0.310975609756098
9,105,59,40,124,0.724137931034483,0.640243902439024,0.679611650485437,0.698170731707317,0.25764192139738,0.24390243902439
10,110,54,41,123,0.728476821192053,0.670731707317073,0.698412698412698,0.710365853658537,0.231759656652361,0.25
11,104,60,38,126,0.732394366197183,0.634146341463415,0.679738562091503,0.701219512195122,0.260869565217391,0.231707317073171
12,114,50,48,116,0.703703703703704,0.695121951219512,0.699386503067485,0.701219512195122,0.217391304347826,0.292682926829268
13,123,41,46,118,0.727810650887574,0.75,0.738738738738739,0.734756097560976,0.170124481327801,0.280487804878049
14,123,41,52,112,0.702857142857143,0.75,0.725663716814159,0.716463414634146,0.174468085106383,0.317073170731707
15,106,58,39,125,0.731034482758621,0.646341463414634,0.686084142394822,0.704268292682927,0.251082251082251,0.23780487804878
16,114,50,38,126,0.75,0.695121951219512,0.721518987341772,0.731707317073171,0.208333333333333,0.231707317073171
17,113,51,56,108,0.668639053254438,0.689024390243902,0.678678678678679,0.673780487804878,0.230769230769231,0.341463414634146
