Experiment-number, TP, FN, FP, TN, Precision, Recall, F-score, Accuracy, Miss-rate, Fall-out-rate
1,104,60,37,127,0.737588652482269,0.634146341463415,0.681967213114754,0.704268292682927,0.25974025974026,0.225609756097561
2,130,34,54,110,0.706521739130435,0.792682926829268,0.747126436781609,0.731707317073171,0.141666666666667,0.329268292682927
3,122,42,32,132,0.792207792207792,0.74390243902439,0.767295597484277,0.774390243902439,0.165354330708661,0.195121951219512
4,110,54,30,134,0.785714285714286,0.670731707317073,0.723684210526316,0.74390243902439,0.221311475409836,0.182926829268293
5,121,43,43,121,0.73780487804878,0.73780487804878,0.73780487804878,0.73780487804878,0.177685950413223,0.26219512195122
6,130,34,33,131,0.797546012269939,0.792682926829268,0.795107033639144,0.795731707317073,0.130268199233716,0.201219512195122
7,121,43,36,128,0.770700636942675,0.73780487804878,0.753894080996885,0.759146341463415,0.172690763052209,0.219512195121951
8,126,38,43,121,0.745562130177515,0.768292682926829,0.756756756756757,0.753048780487805,0.153846153846154,0.26219512195122
9,114,50,38,126,0.75,0.695121951219512,0.721518987341772,0.731707317073171,0.208333333333333,0.231707317073171
10,106,58,27,137,0.796992481203007,0.646341463414634,0.713804713804714,0.740853658536585,0.238683127572016,0.164634146341463
11,135,29,49,115,0.733695652173913,0.823170731707317,0.775862068965517,0.76219512195122,0.116,0.298780487804878
12,132,32,39,125,0.771929824561403,0.804878048780488,0.788059701492537,0.783536585365854,0.124513618677043,0.23780487804878
13,125,39,39,125,0.76219512195122,0.76219512195122,0.76219512195122,0.76219512195122,0.156,0.23780487804878
14,109,55,33,131,0.767605633802817,0.664634146341463,0.712418300653595,0.731707317073171,0.229166666666667,0.201219512195122
15,110,54,29,135,0.79136690647482,0.670731707317073,0.726072607260726,0.746951219512195,0.220408163265306,0.176829268292683
16,96,68,23,141,0.80672268907563,0.585365853658537,0.678445229681979,0.722560975609756,0.286919831223629,0.140243902439024
17,94,70,23,141,0.803418803418803,0.573170731707317,0.669039145907473,0.716463414634146,0.297872340425532,0.140243902439024
18,121,43,37,127,0.765822784810127,0.73780487804878,0.751552795031056,0.75609756097561,0.173387096774194,0.225609756097561
19,124,40,37,127,0.770186335403727,0.75609756097561,0.763076923076923,0.765243902439024,0.159362549800797,0.225609756097561
20,93,71,21,143,0.815789473684211,0.567073170731707,0.669064748201439,0.719512195121951,0.300847457627119,0.128048780487805
21,106,58,28,136,0.791044776119403,0.646341463414634,0.711409395973154,0.73780487804878,0.239669421487603,0.170731707317073
22,103,61,22,142,0.824,0.628048780487805,0.71280276816609,0.746951219512195,0.248979591836735,0.134146341463415
23,110,54,27,137,0.802919708029197,0.670731707317073,0.730897009966777,0.753048780487805,0.218623481781377,0.164634146341463
24,108,56,35,129,0.755244755244755,0.658536585365854,0.703583061889251,0.722560975609756,0.236286919831224,0.213414634146341
25,123,41,43,121,0.740963855421687,0.75,0.745454545454545,0.74390243902439,0.168032786885246,0.26219512195122
26,125,39,55,109,0.694444444444444,0.76219512195122,0.726744186046512,0.713414634146341,0.166666666666667,0.335365853658537
27,122,42,41,123,0.748466257668712,0.74390243902439,0.746177370030581,0.746951219512195,0.171428571428571,0.25
28,95,69,19,145,0.833333333333333,0.579268292682927,0.683453237410072,0.731707317073171,0.2875,0.115853658536585
29,122,42,54,110,0.693181818181818,0.74390243902439,0.717647058823529,0.707317073170732,0.181034482758621,0.329268292682927
30,120,44,38,126,0.759493670886076,0.731707317073171,0.745341614906832,0.75,0.178861788617886,0.231707317073171
