Experiment-number, TP, FN, FP, TN, Precision, Recall, F-score, Accuracy, Miss-rate, Fall-out-rate
1,112,52,32,132,0.777777777777778,0.682926829268293,0.727272727272727,0.74390243902439,0.213114754098361,0.195121951219512
2,118,46,38,126,0.756410256410256,0.719512195121951,0.7375,0.74390243902439,0.188524590163934,0.231707317073171
3,123,41,37,127,0.76875,0.75,0.759259259259259,0.76219512195122,0.164,0.225609756097561
4,120,44,42,122,0.740740740740741,0.731707317073171,0.736196319018405,0.73780487804878,0.181818181818182,0.25609756097561
5,112,52,36,128,0.756756756756757,0.682926829268293,0.717948717948718,0.731707317073171,0.216666666666667,0.219512195121951
6,118,46,37,127,0.761290322580645,0.719512195121951,0.739811912225705,0.746951219512195,0.187755102040816,0.225609756097561
7,115,49,33,131,0.777027027027027,0.701219512195122,0.737179487179487,0.75,0.199186991869919,0.201219512195122
8,115,49,30,134,0.793103448275862,0.701219512195122,0.744336569579288,0.759146341463415,0.196787148594378,0.182926829268293
9,112,52,34,130,0.767123287671233,0.682926829268293,0.72258064516129,0.73780487804878,0.214876033057851,0.207317073170732
10,115,49,29,135,0.798611111111111,0.701219512195122,0.746753246753247,0.76219512195122,0.196,0.176829268292683
11,109,55,36,128,0.751724137931034,0.664634146341463,0.705501618122977,0.722560975609756,0.232067510548523,0.219512195121951
12,109,55,26,138,0.807407407407407,0.664634146341463,0.729096989966555,0.753048780487805,0.222672064777328,0.158536585365854
13,116,48,25,139,0.822695035460993,0.707317073170732,0.760655737704918,0.777439024390244,0.188235294117647,0.152439024390244
14,122,42,32,132,0.792207792207792,0.74390243902439,0.767295597484277,0.774390243902439,0.165354330708661,0.195121951219512
15,116,48,26,138,0.816901408450704,0.707317073170732,0.758169934640523,0.774390243902439,0.188976377952756,0.158536585365854
16,121,43,22,142,0.846153846153846,0.73780487804878,0.788273615635179,0.801829268292683,0.163498098859316,0.134146341463415
17,120,44,44,120,0.731707317073171,0.731707317073171,0.731707317073171,0.731707317073171,0.183333333333333,0.268292682926829
18,122,42,42,122,0.74390243902439,0.74390243902439,0.74390243902439,0.74390243902439,0.172131147540984,0.25609756097561
19,124,40,47,117,0.725146198830409,0.75609756097561,0.740298507462687,0.734756097560976,0.16597510373444,0.286585365853659
20,122,42,34,130,0.782051282051282,0.74390243902439,0.7625,0.768292682926829,0.166666666666667,0.207317073170732
21,114,50,26,138,0.814285714285714,0.695121951219512,0.75,0.768292682926829,0.198412698412698,0.158536585365854
22,116,48,30,134,0.794520547945205,0.707317073170732,0.748387096774194,0.76219512195122,0.192,0.182926829268293
23,108,56,39,125,0.73469387755102,0.658536585365854,0.694533762057878,0.710365853658537,0.240343347639485,0.23780487804878
24,124,40,32,132,0.794871794871795,0.75609756097561,0.775,0.780487804878049,0.15625,0.195121951219512
25,120,44,43,121,0.736196319018405,0.731707317073171,0.73394495412844,0.734756097560976,0.182572614107884,0.26219512195122
26,128,36,30,134,0.810126582278481,0.780487804878049,0.795031055900621,0.798780487804878,0.137404580152672,0.182926829268293
27,110,54,22,142,0.833333333333333,0.670731707317073,0.743243243243243,0.768292682926829,0.214285714285714,0.134146341463415
28,111,53,22,142,0.834586466165414,0.676829268292683,0.747474747474748,0.771341463414634,0.209486166007905,0.134146341463415
29,107,57,38,126,0.737931034482759,0.652439024390244,0.692556634304207,0.710365853658537,0.244635193133047,0.231707317073171
30,134,30,32,132,0.807228915662651,0.817073170731707,0.812121212121212,0.810975609756098,0.112781954887218,0.195121951219512
31,121,43,42,122,0.742331288343558,0.73780487804878,0.740061162079511,0.740853658536585,0.176954732510288,0.25609756097561
32,125,39,31,133,0.801282051282051,0.76219512195122,0.78125,0.786585365853659,0.151162790697674,0.189024390243902
33,118,46,32,132,0.786666666666667,0.719512195121951,0.751592356687898,0.76219512195122,0.184,0.195121951219512
34,111,53,25,139,0.816176470588235,0.676829268292683,0.74,0.76219512195122,0.212,0.152439024390244
35,117,47,40,124,0.745222929936306,0.713414634146341,0.728971962616822,0.734756097560976,0.195020746887967,0.24390243902439
36,109,55,28,136,0.795620437956204,0.664634146341463,0.724252491694352,0.746951219512195,0.224489795918367,0.170731707317073
37,114,50,27,137,0.808510638297872,0.695121951219512,0.747540983606557,0.765243902439024,0.199203187250996,0.164634146341463
38,111,53,29,135,0.792857142857143,0.676829268292683,0.730263157894737,0.75,0.215447154471545,0.176829268292683
39,112,52,33,131,0.772413793103448,0.682926829268293,0.724919093851133,0.740853658536585,0.213991769547325,0.201219512195122
40,123,41,38,126,0.763975155279503,0.75,0.756923076923077,0.759146341463415,0.164658634538153,0.231707317073171
41,114,50,31,133,0.786206896551724,0.695121951219512,0.737864077669903,0.753048780487805,0.202429149797571,0.189024390243902
42,121,43,36,128,0.770700636942675,0.73780487804878,0.753894080996885,0.759146341463415,0.172690763052209,0.219512195121951
43,112,52,34,130,0.767123287671233,0.682926829268293,0.72258064516129,0.73780487804878,0.214876033057851,0.207317073170732
44,102,62,33,131,0.755555555555556,0.621951219512195,0.682274247491639,0.710365853658537,0.266094420600858,0.201219512195122
45,116,48,23,141,0.834532374100719,0.707317073170732,0.765676567656766,0.783536585365854,0.186770428015564,0.140243902439024
46,115,49,33,131,0.777027027027027,0.701219512195122,0.737179487179487,0.75,0.199186991869919,0.201219512195122
47,102,62,35,129,0.744525547445255,0.621951219512195,0.677740863787375,0.704268292682927,0.268398268398268,0.213414634146341
48,121,43,27,137,0.817567567567568,0.73780487804878,0.775641025641026,0.786585365853659,0.166666666666667,0.164634146341463
49,107,57,34,130,0.75886524822695,0.652439024390244,0.701639344262295,0.722560975609756,0.240506329113924,0.207317073170732
50,122,42,33,131,0.787096774193548,0.74390243902439,0.764890282131661,0.771341463414634,0.16600790513834,0.201219512195122
51,118,46,32,132,0.786666666666667,0.719512195121951,0.751592356687898,0.76219512195122,0.184,0.195121951219512
52,104,60,29,135,0.781954887218045,0.634146341463415,0.7003367003367,0.728658536585366,0.251046025104602,0.176829268292683
53,120,44,34,130,0.779220779220779,0.731707317073171,0.754716981132076,0.76219512195122,0.176,0.207317073170732
54,104,60,33,131,0.759124087591241,0.634146341463415,0.691029900332226,0.716463414634146,0.25531914893617,0.201219512195122
55,121,43,37,127,0.765822784810127,0.73780487804878,0.751552795031056,0.75609756097561,0.173387096774194,0.225609756097561
56,118,46,31,133,0.791946308724832,0.719512195121951,0.753993610223642,0.765243902439024,0.183266932270916,0.189024390243902
57,114,50,35,129,0.76510067114094,0.695121951219512,0.728434504792332,0.740853658536585,0.205761316872428,0.213414634146341
58,109,55,28,136,0.795620437956204,0.664634146341463,0.724252491694352,0.746951219512195,0.224489795918367,0.170731707317073
59,108,56,38,126,0.73972602739726,0.658536585365854,0.696774193548387,0.713414634146341,0.239316239316239,0.231707317073171
60,109,55,27,137,0.801470588235294,0.664634146341463,0.726666666666667,0.75,0.223577235772358,0.164634146341463
61,115,49,35,129,0.766666666666667,0.701219512195122,0.732484076433121,0.74390243902439,0.200819672131148,0.213414634146341
62,114,50,46,118,0.7125,0.695121951219512,0.703703703703704,0.707317073170732,0.21551724137931,0.280487804878049
63,117,47,28,136,0.806896551724138,0.713414634146341,0.757281553398058,0.771341463414634,0.185770750988142,0.170731707317073
64,111,53,39,125,0.74,0.676829268292683,0.707006369426752,0.719512195121951,0.224576271186441,0.23780487804878
65,116,48,31,133,0.789115646258503,0.707317073170732,0.745980707395498,0.759146341463415,0.192771084337349,0.189024390243902
66,114,50,37,127,0.754966887417219,0.695121951219512,0.723809523809524,0.734756097560976,0.20746887966805,0.225609756097561
67,118,46,32,132,0.786666666666667,0.719512195121951,0.751592356687898,0.76219512195122,0.184,0.195121951219512
68,111,53,24,140,0.822222222222222,0.676829268292683,0.74247491638796,0.765243902439024,0.211155378486056,0.146341463414634
69,125,39,29,135,0.811688311688312,0.76219512195122,0.786163522012579,0.792682926829268,0.15,0.176829268292683
70,115,49,24,140,0.827338129496403,0.701219512195122,0.759075907590759,0.777439024390244,0.192156862745098,0.146341463414634
71,124,40,39,125,0.760736196319018,0.75609756097561,0.758409785932722,0.759146341463415,0.160642570281124,0.23780487804878
72,126,38,36,128,0.777777777777778,0.768292682926829,0.773006134969325,0.774390243902439,0.149606299212598,0.219512195121951
73,107,57,32,132,0.76978417266187,0.652439024390244,0.706270627062706,0.728658536585366,0.238493723849372,0.195121951219512
74,120,44,38,126,0.759493670886076,0.731707317073171,0.745341614906832,0.75,0.178861788617886,0.231707317073171
75,113,51,31,133,0.784722222222222,0.689024390243902,0.733766233766234,0.75,0.207317073170732,0.189024390243902
76,115,49,28,136,0.804195804195804,0.701219512195122,0.749185667752443,0.765243902439024,0.195219123505976,0.170731707317073
77,102,62,30,134,0.772727272727273,0.621951219512195,0.689189189189189,0.719512195121951,0.26271186440678,0.182926829268293
78,113,51,31,133,0.784722222222222,0.689024390243902,0.733766233766234,0.75,0.207317073170732,0.189024390243902
79,115,49,27,137,0.809859154929577,0.701219512195122,0.751633986928105,0.768292682926829,0.194444444444444,0.164634146341463
80,121,43,40,124,0.751552795031056,0.73780487804878,0.744615384615385,0.746951219512195,0.175510204081633,0.24390243902439
81,115,49,38,126,0.751633986928105,0.701219512195122,0.725552050473186,0.734756097560976,0.203319502074689,0.231707317073171
82,114,50,29,135,0.797202797202797,0.695121951219512,0.742671009771987,0.759146341463415,0.200803212851406,0.176829268292683
83,117,47,35,129,0.769736842105263,0.713414634146341,0.740506329113924,0.75,0.191056910569106,0.213414634146341
84,115,49,37,127,0.756578947368421,0.701219512195122,0.727848101265823,0.73780487804878,0.202479338842975,0.225609756097561
85,123,41,34,130,0.78343949044586,0.75,0.766355140186916,0.771341463414634,0.162055335968379,0.207317073170732
86,128,36,29,135,0.815286624203822,0.780487804878049,0.797507788161994,0.801829268292683,0.136882129277567,0.176829268292683
87,123,41,33,131,0.788461538461538,0.75,0.76875,0.774390243902439,0.161417322834646,0.201219512195122
88,116,48,35,129,0.768211920529801,0.707317073170732,0.736507936507937,0.746951219512195,0.195918367346939,0.213414634146341
89,113,51,30,134,0.79020979020979,0.689024390243902,0.736156351791531,0.753048780487805,0.206477732793522,0.182926829268293
90,122,42,32,132,0.792207792207792,0.74390243902439,0.767295597484277,0.774390243902439,0.165354330708661,0.195121951219512
91,120,44,28,136,0.810810810810811,0.731707317073171,0.769230769230769,0.780487804878049,0.171875,0.170731707317073
92,120,44,27,137,0.816326530612245,0.731707317073171,0.771704180064309,0.783536585365854,0.171206225680934,0.164634146341463
93,116,48,34,130,0.773333333333333,0.707317073170732,0.738853503184713,0.75,0.195121951219512,0.207317073170732
94,118,46,33,131,0.781456953642384,0.719512195121951,0.749206349206349,0.759146341463415,0.184738955823293,0.201219512195122
95,121,43,37,127,0.765822784810127,0.73780487804878,0.751552795031056,0.75609756097561,0.173387096774194,0.225609756097561
96,125,39,41,123,0.753012048192771,0.76219512195122,0.757575757575758,0.75609756097561,0.157258064516129,0.25
97,125,39,35,129,0.78125,0.76219512195122,0.771604938271605,0.774390243902439,0.153543307086614,0.213414634146341
98,115,49,33,131,0.777027027027027,0.701219512195122,0.737179487179487,0.75,0.199186991869919,0.201219512195122
