Experiment-number, TP, FN, FP, TN, Precision, Recall, F-score, Accuracy, Miss-rate, Fall-out-rate
1,132,32,44,120,0.75,0.804878048780488,0.776470588235294,0.768292682926829,0.126984126984127,0.268292682926829
2,118,46,48,116,0.710843373493976,0.719512195121951,0.715151515151515,0.713414634146341,0.196581196581197,0.292682926829268
3,117,47,22,142,0.841726618705036,0.713414634146341,0.772277227722772,0.789634146341463,0.181467181467181,0.134146341463415
4,131,33,34,130,0.793939393939394,0.798780487804878,0.796352583586626,0.795731707317073,0.126436781609195,0.207317073170732
5,115,49,38,126,0.751633986928105,0.701219512195122,0.725552050473186,0.734756097560976,0.203319502074689,0.231707317073171
6,115,49,39,125,0.746753246753247,0.701219512195122,0.723270440251572,0.731707317073171,0.204166666666667,0.23780487804878
7,121,43,55,109,0.6875,0.73780487804878,0.711764705882353,0.701219512195122,0.18695652173913,0.335365853658537
8,115,49,38,126,0.751633986928105,0.701219512195122,0.725552050473186,0.734756097560976,0.203319502074689,0.231707317073171
9,126,38,30,134,0.807692307692308,0.768292682926829,0.7875,0.792682926829268,0.146153846153846,0.182926829268293
10,119,45,48,116,0.712574850299401,0.725609756097561,0.719033232628399,0.716463414634146,0.191489361702128,0.292682926829268
11,121,43,41,123,0.746913580246914,0.73780487804878,0.742331288343558,0.74390243902439,0.176229508196721,0.25
12,124,40,54,110,0.696629213483146,0.75609756097561,0.725146198830409,0.713414634146341,0.170940170940171,0.329268292682927
13,112,52,51,113,0.687116564417178,0.682926829268293,0.685015290519878,0.685975609756098,0.231111111111111,0.310975609756098
14,122,42,37,127,0.767295597484277,0.74390243902439,0.755417956656347,0.759146341463415,0.168674698795181,0.225609756097561
15,112,52,42,122,0.727272727272727,0.682926829268293,0.70440251572327,0.713414634146341,0.222222222222222,0.25609756097561
16,112,52,34,130,0.767123287671233,0.682926829268293,0.72258064516129,0.73780487804878,0.214876033057851,0.207317073170732
17,111,53,32,132,0.776223776223776,0.676829268292683,0.723127035830619,0.740853658536585,0.218106995884774,0.195121951219512
18,109,55,27,137,0.801470588235294,0.664634146341463,0.726666666666667,0.75,0.223577235772358,0.164634146341463
19,125,39,46,118,0.730994152046784,0.76219512195122,0.746268656716418,0.740853658536585,0.160493827160494,0.280487804878049
20,123,41,34,130,0.78343949044586,0.75,0.766355140186916,0.771341463414634,0.162055335968379,0.207317073170732
21,118,46,40,124,0.746835443037975,0.719512195121951,0.732919254658385,0.73780487804878,0.190082644628099,0.24390243902439
22,133,31,43,121,0.755681818181818,0.810975609756098,0.782352941176471,0.774390243902439,0.122047244094488,0.26219512195122
23,129,35,42,122,0.754385964912281,0.786585365853659,0.770149253731343,0.765243902439024,0.139442231075697,0.25609756097561
24,124,40,39,125,0.760736196319018,0.75609756097561,0.758409785932722,0.759146341463415,0.160642570281124,0.23780487804878
25,120,44,39,125,0.754716981132076,0.731707317073171,0.743034055727554,0.746951219512195,0.179591836734694,0.23780487804878
26,121,43,39,125,0.75625,0.73780487804878,0.746913580246914,0.75,0.17479674796748,0.23780487804878
