Experiment-number, TP, FN, FP, TN, Precision, Recall, F-score, Accuracy, Miss-rate, Fall-out-rate
1,108,56,39,125,0.73469387755102,0.658536585365854,0.694533762057878,0.710365853658537,0.240343347639485,0.23780487804878
2,123,41,38,126,0.763975155279503,0.75,0.756923076923077,0.759146341463415,0.164658634538153,0.231707317073171
3,120,44,38,126,0.759493670886076,0.731707317073171,0.745341614906832,0.75,0.178861788617886,0.231707317073171
4,123,41,39,125,0.759259259259259,0.75,0.754601226993865,0.75609756097561,0.165322580645161,0.23780487804878
5,108,56,27,137,0.8,0.658536585365854,0.722408026755853,0.746951219512195,0.228571428571429,0.164634146341463
6,128,36,45,119,0.739884393063584,0.780487804878049,0.759643916913947,0.753048780487805,0.145748987854251,0.274390243902439
7,124,40,45,119,0.733727810650888,0.75609756097561,0.744744744744745,0.740853658536585,0.164609053497942,0.274390243902439
8,113,51,42,122,0.729032258064516,0.689024390243902,0.70846394984326,0.716463414634146,0.217021276595745,0.25609756097561
9,118,46,40,124,0.746835443037975,0.719512195121951,0.732919254658385,0.73780487804878,0.190082644628099,0.24390243902439
10,125,39,48,116,0.722543352601156,0.76219512195122,0.741839762611276,0.734756097560976,0.161825726141079,0.292682926829268
11,113,51,33,131,0.773972602739726,0.689024390243902,0.729032258064516,0.74390243902439,0.209016393442623,0.201219512195122
12,107,57,39,125,0.732876712328767,0.652439024390244,0.690322580645161,0.707317073170732,0.245689655172414,0.23780487804878
13,116,48,36,128,0.763157894736842,0.707317073170732,0.734177215189873,0.74390243902439,0.19672131147541,0.219512195121951
14,103,61,36,128,0.741007194244604,0.628048780487805,0.67986798679868,0.704268292682927,0.264069264069264,0.219512195121951
15,115,49,39,125,0.746753246753247,0.701219512195122,0.723270440251572,0.731707317073171,0.204166666666667,0.23780487804878
16,110,54,46,118,0.705128205128205,0.670731707317073,0.6875,0.695121951219512,0.236842105263158,0.280487804878049
17,123,41,42,122,0.745454545454545,0.75,0.747720364741641,0.746951219512195,0.16734693877551,0.25609756097561
18,98,66,41,123,0.705035971223022,0.597560975609756,0.646864686468647,0.673780487804878,0.298642533936652,0.25
19,116,48,51,113,0.694610778443114,0.707317073170732,0.700906344410876,0.698170731707317,0.209606986899563,0.310975609756098
20,105,59,24,140,0.813953488372093,0.640243902439024,0.716723549488055,0.746951219512195,0.240816326530612,0.146341463414634
21,96,68,33,131,0.744186046511628,0.585365853658537,0.655290102389078,0.692073170731707,0.299559471365639,0.201219512195122
22,119,45,30,134,0.798657718120805,0.725609756097561,0.76038338658147,0.771341463414634,0.177865612648221,0.182926829268293
23,107,57,41,123,0.722972972972973,0.652439024390244,0.685897435897436,0.701219512195122,0.247826086956522,0.25
24,113,51,32,132,0.779310344827586,0.689024390243902,0.731391585760518,0.746951219512195,0.208163265306122,0.195121951219512
25,97,67,27,137,0.782258064516129,0.591463414634146,0.673611111111111,0.713414634146341,0.286324786324786,0.164634146341463
26,110,54,37,127,0.748299319727891,0.670731707317073,0.707395498392283,0.722560975609756,0.227848101265823,0.225609756097561
27,112,52,38,126,0.746666666666667,0.682926829268293,0.713375796178344,0.725609756097561,0.218487394957983,0.231707317073171
28,119,45,39,125,0.753164556962025,0.725609756097561,0.739130434782609,0.74390243902439,0.184426229508197,0.23780487804878
29,104,60,41,123,0.717241379310345,0.634146341463415,0.673139158576052,0.692073170731707,0.26431718061674,0.25
30,110,54,29,135,0.79136690647482,0.670731707317073,0.726072607260726,0.746951219512195,0.220408163265306,0.176829268292683
31,118,46,47,117,0.715151515151515,0.719512195121951,0.717325227963526,0.716463414634146,0.195744680851064,0.286585365853659
32,105,59,28,136,0.789473684210526,0.640243902439024,0.707070707070707,0.734756097560976,0.244813278008299,0.170731707317073
33,108,56,34,130,0.76056338028169,0.658536585365854,0.705882352941177,0.725609756097561,0.235294117647059,0.207317073170732
34,119,45,53,111,0.691860465116279,0.725609756097561,0.708333333333333,0.701219512195122,0.195652173913043,0.323170731707317
35,122,42,46,118,0.726190476190476,0.74390243902439,0.734939759036145,0.731707317073171,0.175,0.280487804878049
36,108,56,27,137,0.8,0.658536585365854,0.722408026755853,0.746951219512195,0.228571428571429,0.164634146341463
37,124,40,46,118,0.729411764705882,0.75609756097561,0.74251497005988,0.73780487804878,0.165289256198347,0.280487804878049
38,127,37,45,119,0.738372093023256,0.774390243902439,0.755952380952381,0.75,0.150406504065041,0.274390243902439
39,120,44,28,136,0.810810810810811,0.731707317073171,0.769230769230769,0.780487804878049,0.171875,0.170731707317073
40,111,53,34,130,0.76551724137931,0.676829268292683,0.718446601941748,0.734756097560976,0.219917012448133,0.207317073170732
41,107,57,29,135,0.786764705882353,0.652439024390244,0.713333333333333,0.73780487804878,0.235537190082645,0.176829268292683
42,108,56,25,139,0.81203007518797,0.658536585365854,0.727272727272727,0.753048780487805,0.226720647773279,0.152439024390244
43,126,38,30,134,0.807692307692308,0.768292682926829,0.7875,0.792682926829268,0.146153846153846,0.182926829268293
44,111,53,30,134,0.787234042553192,0.676829268292683,0.727868852459016,0.746951219512195,0.216326530612245,0.182926829268293
45,108,56,22,142,0.830769230769231,0.658536585365854,0.73469387755102,0.76219512195122,0.224,0.134146341463415
46,93,71,21,143,0.815789473684211,0.567073170731707,0.669064748201439,0.719512195121951,0.300847457627119,0.128048780487805
47,119,45,45,119,0.725609756097561,0.725609756097561,0.725609756097561,0.725609756097561,0.189075630252101,0.274390243902439
48,117,47,31,133,0.790540540540541,0.713414634146341,0.75,0.76219512195122,0.188,0.189024390243902
49,116,48,30,134,0.794520547945205,0.707317073170732,0.748387096774194,0.76219512195122,0.192,0.182926829268293
50,119,45,32,132,0.788079470198676,0.725609756097561,0.755555555555556,0.765243902439024,0.179282868525896,0.195121951219512
51,108,56,32,132,0.771428571428571,0.658536585365854,0.710526315789474,0.731707317073171,0.233333333333333,0.195121951219512
52,133,31,72,92,0.648780487804878,0.810975609756098,0.720867208672087,0.685975609756098,0.137777777777778,0.439024390243902
53,106,58,32,132,0.768115942028985,0.646341463414634,0.701986754966887,0.725609756097561,0.243697478991597,0.195121951219512
54,120,44,47,117,0.718562874251497,0.731707317073171,0.725075528700906,0.722560975609756,0.185654008438819,0.286585365853659
55,101,63,20,144,0.834710743801653,0.615853658536585,0.708771929824561,0.746951219512195,0.257142857142857,0.121951219512195
56,113,51,34,130,0.768707482993197,0.689024390243902,0.726688102893891,0.740853658536585,0.209876543209877,0.207317073170732
57,117,47,47,117,0.713414634146341,0.713414634146341,0.713414634146341,0.713414634146341,0.200854700854701,0.286585365853659
58,109,55,37,127,0.746575342465753,0.664634146341463,0.703225806451613,0.719512195121951,0.233050847457627,0.225609756097561
59,113,51,63,101,0.642045454545455,0.689024390243902,0.664705882352941,0.652439024390244,0.238317757009346,0.384146341463415
60,108,56,36,128,0.75,0.658536585365854,0.701298701298701,0.719512195121951,0.23728813559322,0.219512195121951
61,110,54,29,135,0.79136690647482,0.670731707317073,0.726072607260726,0.746951219512195,0.220408163265306,0.176829268292683
62,99,65,29,135,0.7734375,0.603658536585366,0.678082191780822,0.713414634146341,0.277777777777778,0.176829268292683
63,116,48,41,123,0.738853503184713,0.707317073170732,0.722741433021807,0.728658536585366,0.200836820083682,0.25
64,124,40,42,122,0.746987951807229,0.75609756097561,0.751515151515151,0.75,0.16260162601626,0.25609756097561
65,122,42,43,121,0.739393939393939,0.74390243902439,0.741641337386018,0.740853658536585,0.172839506172839,0.26219512195122
66,124,40,45,119,0.733727810650888,0.75609756097561,0.744744744744745,0.740853658536585,0.164609053497942,0.274390243902439
67,105,59,31,133,0.772058823529412,0.640243902439024,0.7,0.725609756097561,0.247899159663866,0.189024390243902
68,95,69,25,139,0.791666666666667,0.579268292682927,0.669014084507042,0.713414634146341,0.294871794871795,0.152439024390244
69,108,56,52,112,0.675,0.658536585365854,0.666666666666667,0.670731707317073,0.254545454545455,0.317073170731707
70,119,45,37,127,0.762820512820513,0.725609756097561,0.74375,0.75,0.182926829268293,0.225609756097561
71,123,41,37,127,0.76875,0.75,0.759259259259259,0.76219512195122,0.164,0.225609756097561
72,116,48,49,115,0.703030303030303,0.707317073170732,0.70516717325228,0.704268292682927,0.207792207792208,0.298780487804878
73,117,47,49,115,0.704819277108434,0.713414634146341,0.709090909090909,0.707317073170732,0.202586206896552,0.298780487804878
74,121,43,48,116,0.715976331360947,0.73780487804878,0.726726726726727,0.722560975609756,0.181434599156118,0.292682926829268
75,127,37,57,107,0.690217391304348,0.774390243902439,0.729885057471264,0.713414634146341,0.158119658119658,0.347560975609756
76,108,56,31,133,0.776978417266187,0.658536585365854,0.712871287128713,0.734756097560976,0.232365145228216,0.189024390243902
77,123,41,47,117,0.723529411764706,0.75,0.736526946107784,0.731707317073171,0.170833333333333,0.286585365853659
78,100,64,33,131,0.75187969924812,0.609756097560976,0.673400673400673,0.704268292682927,0.277056277056277,0.201219512195122
79,112,52,31,133,0.783216783216783,0.682926829268293,0.729641693811075,0.746951219512195,0.212244897959184,0.189024390243902
80,113,51,37,127,0.753333333333333,0.689024390243902,0.719745222929936,0.731707317073171,0.2125,0.225609756097561
81,90,74,22,142,0.803571428571429,0.548780487804878,0.652173913043478,0.707317073170732,0.318965517241379,0.134146341463415
82,121,43,48,116,0.715976331360947,0.73780487804878,0.726726726726727,0.722560975609756,0.181434599156118,0.292682926829268
